date,close
09-01-2019,153.31
10-01-2019,153.8
11-01-2019,152.29
14-01-2019,150
15-01-2019,153.07
16-01-2019,154.94
17-01-2019,155.86
18-01-2019,156.82
22-01-2019,153.3
23-01-2019,153.92
24-01-2019,152.7
25-01-2019,157.76
28-01-2019,156.3
29-01-2019,154.68
30-01-2019,165.25
31-01-2019,166.44
01-02-2019,166.52
04-02-2019,171.25
05-02-2019,174.18
06-02-2019,174.24
07-02-2019,170.94
08-02-2019,170.41
11-02-2019,169.43
12-02-2019,170.89
13-02-2019,170.18
14-02-2019,170.8
15-02-2019,170.42
19-02-2019,170.93
20-02-2019,172.03
21-02-2019,171.06
22-02-2019,172.97
25-02-2019,174.23
26-02-2019,174.33
27-02-2019,174.87
28-02-2019,173.15
01-03-2019,174.97
04-03-2019,175.85
05-03-2019,175.53
06-03-2019,174.52
07-03-2019,172.5
08-03-2019,172.91
11-03-2019,178.9
12-03-2019,180.91
13-03-2019,181.71
14-03-2019,183.73
15-03-2019,186.12
18-03-2019,188.02
19-03-2019,186.53
20-03-2019,188.16
21-03-2019,195.09
22-03-2019,191.05
25-03-2019,188.74
26-03-2019,186.79
27-03-2019,188.47
28-03-2019,188.72
29-03-2019,189.95
01-04-2019,191.24
02-04-2019,194.02
03-04-2019,195.35
04-04-2019,195.69
05-04-2019,197
08-04-2019,200.1
09-04-2019,199.5
10-04-2019,200.62
11-04-2019,198.95
12-04-2019,198.87
15-04-2019,199.23
16-04-2019,199.25
17-04-2019,203.13
18-04-2019,203.86
22-04-2019,204.53
23-04-2019,207.48
24-04-2019,207.16
25-04-2019,205.28
26-04-2019,204.3
29-04-2019,204.61
30-04-2019,200.67
01-05-2019,210.52
02-05-2019,209.15
03-05-2019,211.75
06-05-2019,208.48
07-05-2019,202.86
08-05-2019,202.9
09-05-2019,200.72
10-05-2019,197.18
13-05-2019,185.72
14-05-2019,188.66
15-05-2019,190.92
16-05-2019,190.08
17-05-2019,189
20-05-2019,183.09
21-05-2019,186.6
22-05-2019,182.78
23-05-2019,179.66
24-05-2019,178.97
28-05-2019,178.23
29-05-2019,177.38
30-05-2019,178.3
31-05-2019,175.07
03-06-2019,173.3
04-06-2019,179.64
05-06-2019,182.54
06-06-2019,185.22
07-06-2019,190.15
10-06-2019,192.58
11-06-2019,194.81
12-06-2019,194.19
13-06-2019,194.15
14-06-2019,192.74
17-06-2019,193.89
18-06-2019,198.45
19-06-2019,197.87
20-06-2019,199.46
21-06-2019,198.78
24-06-2019,198.58
25-06-2019,195.57
26-06-2019,199.8
27-06-2019,199.74
28-06-2019,197.92
01-07-2019,201.55
02-07-2019,202.73
03-07-2019,204.41
05-07-2019,204.23
08-07-2019,200.02
09-07-2019,201.24
10-07-2019,203.23
11-07-2019,201.75
12-07-2019,203.3
15-07-2019,205.21
16-07-2019,204.5
17-07-2019,203.35
18-07-2019,205.66
19-07-2019,202.59
22-07-2019,207.22
23-07-2019,208.84
24-07-2019,208.67
25-07-2019,207.02
26-07-2019,207.74
29-07-2019,209.68
30-07-2019,208.78
31-07-2019,213.04
01-08-2019,208.43
02-08-2019,204.02
05-08-2019,193.34
06-08-2019,197
07-08-2019,199.04
08-08-2019,203.43
09-08-2019,200.99
12-08-2019,200.48
13-08-2019,208.97
14-08-2019,202.75
15-08-2019,201.74
16-08-2019,206.5
19-08-2019,210.35
20-08-2019,210.36
21-08-2019,212.64
22-08-2019,212.46
23-08-2019,202.64
26-08-2019,206.49
27-08-2019,204.16
28-08-2019,205.53
29-08-2019,209.01
30-08-2019,208.74
03-09-2019,205.7
04-09-2019,209.19
05-09-2019,213.28
06-09-2019,213.26
09-09-2019,214.17
10-09-2019,216.7
11-09-2019,223.59
12-09-2019,223.085
13-09-2019,218.75
16-09-2019,219.9
17-09-2019,220.7
18-09-2019,222.77
19-09-2019,220.96
20-09-2019,217.73
23-09-2019,218.72
24-09-2019,217.68
25-09-2019,221.03
26-09-2019,219.89
27-09-2019,218.82
30-09-2019,223.97
01-10-2019,224.59
02-10-2019,218.96
03-10-2019,220.82
04-10-2019,227.01
07-10-2019,227.06
08-10-2019,224.4
09-10-2019,227.03
10-10-2019,230.09
11-10-2019,236.21
14-10-2019,235.87
15-10-2019,235.32
16-10-2019,234.37
17-10-2019,235.28
18-10-2019,236.41
21-10-2019,240.51
22-10-2019,239.96
23-10-2019,243.18
24-10-2019,243.58
25-10-2019,246.58
28-10-2019,249.05
29-10-2019,243.29
30-10-2019,243.26
31-10-2019,248.76
01-11-2019,255.82
04-11-2019,257.5
05-11-2019,257.13
06-11-2019,257.24
07-11-2019,259.43
08-11-2019,260.14
11-11-2019,262.2
12-11-2019,261.96
13-11-2019,264.47
14-11-2019,262.64
15-11-2019,265.76
18-11-2019,267.1
19-11-2019,266.29
20-11-2019,263.19
21-11-2019,262.01
22-11-2019,261.78
25-11-2019,266.37
26-11-2019,264.29
27-11-2019,267.84
29-11-2019,267.25
02-12-2019,264.16
03-12-2019,259.45
04-12-2019,261.74
05-12-2019,265.58
06-12-2019,270.71
09-12-2019,266.92
10-12-2019,268.48
11-12-2019,270.77
12-12-2019,271.46
13-12-2019,275.15
16-12-2019,279.86
17-12-2019,280.41
18-12-2019,279.74
19-12-2019,280.02
20-12-2019,279.44
23-12-2019,284
24-12-2019,284.27
26-12-2019,289.91
27-12-2019,289.8
30-12-2019,291.52
31-12-2019,293.65
02-01-2020,300.35
03-01-2020,297.43
06-01-2020,299.8
07-01-2020,298.39
08-01-2020,303.19
09-01-2020,309.63
10-01-2020,310.33
13-01-2020,316.96
14-01-2020,312.68
15-01-2020,311.34
16-01-2020,315.24
17-01-2020,318.73
21-01-2020,316.57
22-01-2020,317.7
23-01-2020,319.23
24-01-2020,318.31
27-01-2020,308.95
28-01-2020,317.69
29-01-2020,324.34
30-01-2020,323.87
31-01-2020,309.51
03-02-2020,308.66
04-02-2020,318.85
05-02-2020,321.45
06-02-2020,325.21
07-02-2020,320.03
10-02-2020,321.55
11-02-2020,319.61
12-02-2020,327.2
13-02-2020,324.87
14-02-2020,324.95
18-02-2020,319
19-02-2020,323.62
20-02-2020,320.3
21-02-2020,313.05
24-02-2020,298.18
25-02-2020,288.08
26-02-2020,292.65
27-02-2020,273.52
28-02-2020,273.36
02-03-2020,298.81
03-03-2020,289.32
04-03-2020,302.74
05-03-2020,292.92
06-03-2020,289.03
09-03-2020,266.17
10-03-2020,285.34
11-03-2020,275.43
12-03-2020,248.23
13-03-2020,277.97
16-03-2020,242.21
17-03-2020,252.86
18-03-2020,246.67
19-03-2020,244.78
20-03-2020,229.24
23-03-2020,224.37
24-03-2020,246.88
25-03-2020,245.52
26-03-2020,258.44
27-03-2020,247.74
30-03-2020,254.81
31-03-2020,254.29
01-04-2020,240.91
02-04-2020,244.93
03-04-2020,241.41
06-04-2020,262.47
07-04-2020,259.43
08-04-2020,266.07
09-04-2020,267.99
13-04-2020,273.25
14-04-2020,287.05
15-04-2020,284.43
16-04-2020,286.69
17-04-2020,282.8
20-04-2020,276.93
21-04-2020,268.37
22-04-2020,276.1
23-04-2020,275.03
24-04-2020,282.97
27-04-2020,283.17
28-04-2020,278.58
29-04-2020,287.73
30-04-2020,293.8
01-05-2020,289.07
04-05-2020,293.16
05-05-2020,297.56
06-05-2020,300.63
07-05-2020,303.74
08-05-2020,310.13
11-05-2020,315.01
12-05-2020,311.41
13-05-2020,307.65
14-05-2020,309.54
15-05-2020,307.71
18-05-2020,314.96
19-05-2020,313.14
20-05-2020,319.23
21-05-2020,316.85
22-05-2020,318.89
